date,amount,type,category,description,currency
2026-02-01,5200.00,INCOME,Salary,February salary,USD
2026-02-03,1200.00,INCOME,Freelance,Logo design project,USD
2026-02-02,85.40,EXPENSE,Food & Dining,Weekly groceries - Whole Foods,USD
2026-02-03,12.50,EXPENSE,Food & Dining,Coffee and pastry,USD
2026-02-04,1450.00,EXPENSE,Housing,February rent,USD
2026-02-05,95.00,EXPENSE,Utilities,Electric bill,USD
2026-02-05,45.00,EXPENSE,Utilities,Internet bill,USD
2026-02-06,42.00,EXPENSE,Transportation,Gas fill-up,USD
2026-02-07,65.00,EXPENSE,Food & Dining,Dinner at Italian restaurant,USD
2026-02-08,120.00,EXPENSE,Shopping,Winter jacket on sale,USD
2026-02-09,15.99,EXPENSE,Entertainment,Netflix subscription,USD
2026-02-10,35.00,EXPENSE,Healthcare,Pharmacy - vitamins,USD
2026-02-11,78.50,EXPENSE,Food & Dining,Groceries - Trader Joes,USD
2026-02-12,200.00,EXPENSE,Education,Online course - React Advanced,USD
2026-02-13,28.00,EXPENSE,Transportation,Uber rides,USD
2026-02-14,95.00,EXPENSE,Food & Dining,Valentines dinner,USD
2026-02-15,5200.00,INCOME,Salary,February salary 2nd half,USD
2026-02-16,55.00,EXPENSE,Entertainment,Movie tickets and snacks,USD
2026-02-17,340.00,EXPENSE,Shopping,New running shoes,USD
2026-02-18,62.00,EXPENSE,Food & Dining,Groceries midweek,USD
2026-02-20,150.00,EXPENSE,Healthcare,Dentist co-pay,USD
2026-02-21,38.50,EXPENSE,Transportation,Gas fill-up,USD
2026-02-22,22.00,EXPENSE,Food & Dining,Lunch with coworkers,USD
2026-02-24,75.00,EXPENSE,Utilities,Water and garbage,USD
2026-02-25,450.00,INCOME,Investments,Dividend payout,USD
2026-02-26,89.00,EXPENSE,Shopping,Bluetooth headphones,USD
2026-02-27,18.00,EXPENSE,Food & Dining,Coffee beans,USD
2026-02-28,30.00,EXPENSE,Entertainment,Spotify and gaming subscription,USD
2026-03-01,5200.00,INCOME,Salary,March salary,USD
2026-03-02,800.00,INCOME,Freelance,Website maintenance retainer,USD
2026-03-02,92.30,EXPENSE,Food & Dining,Weekly groceries - Costco,USD
2026-03-03,14.00,EXPENSE,Food & Dining,Coffee shop,USD
2026-03-04,1450.00,EXPENSE,Housing,March rent,USD
2026-03-04,110.00,EXPENSE,Utilities,Electric bill - higher usage,USD
2026-03-05,45.00,EXPENSE,Utilities,Internet bill,USD
2026-03-06,48.00,EXPENSE,Transportation,Gas fill-up,USD
2026-03-07,72.00,EXPENSE,Food & Dining,Sushi restaurant,USD
2026-03-08,250.00,EXPENSE,Shopping,Spring wardrobe refresh,USD
2026-03-09,15.99,EXPENSE,Entertainment,Netflix subscription,USD
2026-03-10,45.00,EXPENSE,Healthcare,Prescription refill,USD
2026-03-11,68.00,EXPENSE,Food & Dining,Groceries midweek,USD
2026-03-12,35.00,EXPENSE,Transportation,Parking and tolls,USD
2026-03-13,1500.00,INCOME,Freelance,Mobile app UI project,USD
2026-03-14,42.00,EXPENSE,Food & Dining,Brunch with friends,USD
2026-03-15,5200.00,INCOME,Salary,March salary 2nd half,USD
2026-03-16,85.00,EXPENSE,Entertainment,Concert tickets,USD
